Estantería,Anaquel 1,Anaquel 2,Anaquel 3,Anaquel 4,Anaquel 5
2,1.2–2.02,2.02–2.84,2.84–3.66,3.66–4.48,4.48–5.3
3,5.3–38.244,38.244–71.188,71.188–104.132,104.132–137.076,137.076–170.02
4,170.202–201.831,201.831–233.460,233.460–265.089,265.089–296.717,296.717–328.345
5,328.361–330.709,330.709–333.057,333.057–335.404,335.404–337.752,337.752–340.1
6,340.1–340.68,340.68–341.26,341.26–341.84,341.84–342.42,342.42–343.0
8,345.023–345.238,345.238–345.454,345.454–345.669,345.669–345.884,345.884–346.1
9,346.1–346.46,346.46–346.82,346.82–347.18,347.18–347.54,347.54–347.9
10,347.9–352.5,352.5–357.1,357.1–361.7,361.7–366.3,366.3–370.9
11,370.938–399.916,399.916–428.895,428.895–457.873,457.873–486.852,486.852–515.83
12,516–544.2,544.2–572.4,572.4–600.6,600.6–628.8,628.8–657
13,657–657.28,657.28–657.56,657.56–657.84,657.84–658.12,658.12–658.4
14,658.4–671.7,671.7–685.0,685.0–698.3,698.3–711.6,711.6–724.9
15,724.91–762.604,762.604–800.298,800.298–837.992,837.992–875.686,875.686–913.38
16,918.6–932.252,932.252–945.904,945.904–959.556,959.556–973.208,973.208–986.861
